Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-01-2012,1,1.20,,,,,1.40,,,0.90,1.30,,,,1.00,,,,,1.30,1.30,1.70,2.20,0.40,,1.40,,2.1,1.6,,1.90,,,1.40,1.30,0.2,,1.70,,1.70,1.50,
01-01-2012,2,1.10,,,,,1.70,,,1.30,1.60,,,,1.10,,,,,1.20,2.10,1.90,2.50,0.90,,1.60,,2.0,2.5,,2.00,,,1.60,2.00,0.3,,2.50,,1.50,1.50,
01-01-2012,3,1.20,,,,,1.60,,,1.70,1.80,,,,1.40,,,,,1.50,1.90,1.90,1.50,1.20,,1.80,,1.9,1.8,,1.60,,,1.50,2.10,0.5,,1.70,,3.20,2.10,
01-01-2012,4,1.20,,,,,1.90,,,2.00,2.60,,,,1.90,,,,,2.20,1.80,2.30,1.90,1.20,,1.70,,2.5,2.7,,2.30,,,1.90,2.20,0.5,,1.80,,2.70,2.20,
01-01-2012,5,1.00,,,,,1.50,,,2.50,2.20,,,,1.20,,,,,2.30,1.90,2.30,2.10,1.30,,1.90,,3.4,3.5,,3.00,,,1.40,1.80,0.3,,2.50,,3.10,2.00,
01-01-2012,6,1.10,,,,,1.90,,,2.30,1.80,,,,1.00,,,,,2.30,1.60,2.40,2.60,1.20,,2.20,,3.3,3.3,,1.90,,,0.80,1.80,0.3,,3.40,,3.60,2.70,
01-01-2012,7,1.30,,,,,1.60,,,1.70,2.10,,,,1.00,,,,,2.40,1.60,2.60,2.70,1.00,,1.60,,2.3,2.8,,2.20,,,0.70,1.90,0.3,,2.90,,3.30,2.30,
01-01-2012,8,1.00,,,,,1.80,,,1.60,2.40,,,,1.00,,,,,2.10,1.90,2.30,2.40,1.30,,1.80,,2.8,3.1,,2.80,,,0.90,2.30,0.2,,3.00,,3.60,2.60,
01-01-2012,9,0.80,,,,,1.30,,,1.20,2.30,,,,0.90,,,,,2.20,2.50,1.70,2.00,1.10,,1.70,,2.1,2.2,,2.60,,,1.50,2.10,0.3,,2.80,,3.20,2.40,
01-01-2012,10,0.50,,,,,1.40,,,1.10,2.70,,,,1.00,,,,,2.00,2.10,2.10,1.80,1.20,,1.50,,1.7,2.3,,2.40,,,1.10,1.40,1.2,,2.00,,2.30,1.90,
01-01-2012,11,0.40,,,,,1.10,,,0.80,2.00,,,,0.60,,,,,1.10,1.80,1.90,1.60,1.20,,1.60,,1.7,2.2,,2.10,,,0.40,0.70,1.3,,1.70,,1.20,1.90,
01-01-2012,12,0.40,,,,,0.80,,,0.40,1.40,,,,0.20,,,,,0.50,0.80,1.00,1.20,0.30,,0.60,,1.3,0.4,,1.50,,,0.30,0.40,0.6,,1.30,,0.50,1.00,
01-01-2012,13,0.20,,,,,0.60,,,0.30,1.20,,,,0.30,,,,,0.30,0.00,0.40,0.60,0.30,,0.40,,0.6,0.1,,1.20,,,0.30,0.30,0.3,,0.40,,0.30,0.30,
01-01-2012,14,0.20,,,,,0.50,,,0.20,0.60,,,,0.20,,,,,0.10,0.00,0.30,0.40,0.20,,0.30,,0.5,0.0,,0.70,,,0.20,0.20,0.3,,0.30,,0.20,0.20,
01-01-2012,15,0.20,,,,,0.50,,,0.30,0.50,,,,0.20,,,,,0.10,0.00,0.30,0.50,0.10,,0.30,,0.4,0.0,,0.50,,,0.10,0.20,0.2,,0.30,,0.20,0.30,
01-01-2012,16,0.10,,,,,0.50,,,0.30,,,,,0.20,,,,,0.10,0.00,0.30,0.50,0.10,,0.30,,0.4,0.0,,0.60,,,0.10,0.20,0.2,,0.00,,0.20,0.30,
01-01-2012,17,0.20,,,,,0.50,,,0.30,0.60,,,,0.20,,,,,0.20,0.00,0.30,0.50,0.20,,0.30,,0.4,0.2,,0.70,,,0.10,0.20,0.3,,0.00,,0.20,0.30,
01-01-2012,18,0.20,,,,,0.50,,,0.40,0.60,,,,0.20,,,,,0.20,0.00,0.40,0.60,0.20,,0.40,,0.5,0.7,,0.70,,,0.20,0.20,0.5,,0.10,,0.20,0.30,
01-01-2012,19,0.20,,,,,0.60,,,0.40,1.00,,,,0.30,,,,,0.30,0.00,0.40,0.70,0.20,,0.40,,0.5,0.8,,0.70,,,0.10,0.30,0.5,,0.30,,0.20,0.30,
01-01-2012,20,0.20,,,,,0.60,,,0.50,0.90,,,,0.20,,,,,0.30,0.00,0.40,0.70,0.20,,0.50,,0.5,0.7,,0.80,,,,0.30,0.3,,0.30,,0.30,0.20,
01-01-2012,21,0.30,,,,,0.50,,,0.40,0.90,,,,0.30,,,,,0.40,0.00,0.50,,0.20,,0.50,,0.5,0.6,,0.80,,,0.30,0.30,0.2,,0.20,,0.30,0.20,
01-01-2012,22,0.30,,,,,0.50,,,0.40,1.00,,,,0.20,,,,,0.50,0.00,0.40,0.80,0.20,,0.50,,0.5,0.6,,0.80,,,0.20,0.30,0.3,,0.30,,0.30,0.20,
01-01-2012,23,0.20,,,,,0.50,,,0.50,1.00,,,,0.20,,,,,0.20,0.00,0.40,0.70,0.20,,0.40,,0.4,0.7,,0.80,,,0.20,0.30,0.2,,0.30,,0.20,0.20,
01-01-2012,24,0.10,,,,,0.50,,,0.50,0.90,,,,0.10,,,,,0.10,0.00,0.30,0.50,0.20,,0.20,,0.4,0.5,,0.70,,,0.20,0.20,0.3,,0.20,,0.10,0.10,
02-01-2012,1,0.10,,,,,0.40,,,0.40,0.70,,,,0.10,,,,,0.10,0.00,0.20,0.40,0.10,,0.20,,0.4,0.5,,0.60,,,,0.20,0.2,,0.10,,0.10,0.10,
02-01-2012,2,0.10,,,,,0.30,,,0.40,0.50,,,,0.00,,,,,0.10,0.00,0.20,0.30,0.10,,0.10,,0.3,0.6,,0.60,,,,0.10,0.2,,0.00,,0.10,0.00,
02-01-2012,3,0.10,,,,,0.30,,,0.40,0.50,,,,0.00,,,,,0.10,0.00,0.20,0.30,0.10,,0.10,,0.3,0.5,,0.50,,,,0.10,0.2,,0.00,,0.10,0.00,
02-01-2012,4,0.10,,,,,0.30,,,0.40,0.40,,,,0.00,,,,,0.10,0.00,0.10,0.30,0.00,,0.10,,0.3,0.4,,0.50,,,,0.10,0.2,,0.00,,0.00,0.00,
02-01-2012,5,0.10,,,,,0.30,,,0.40,0.40,,,,0.00,,,,,0.20,0.00,0.10,0.20,0.00,,0.20,,0.3,0.4,,0.50,,,,0.10,0.2,,0.00,,0.10,0.10,
02-01-2012,6,0.20,,,,,0.40,,,0.40,0.50,,,,0.00,,,,,0.20,0.00,0.20,0.40,0.10,,0.20,,0.3,0.5,,0.60,,,0.10,0.20,0.4,,0.10,,0.10,0.10,
02-01-2012,7,0.20,,,,,0.60,,,0.40,0.60,,,,0.20,,,,,0.30,0.10,0.40,0.50,0.10,,0.40,,0.4,0.6,,0.60,,,0.20,0.30,0.6,,0.20,,0.20,0.20,
02-01-2012,8,0.30,,,,,0.80,,,0.40,0.80,,,,0.30,,,,,0.50,0.00,0.90,0.60,0.20,,0.60,,0.5,0.8,,0.70,,,0.50,0.30,0.7,,0.50,,0.20,0.10,
02-01-2012,9,0.40,,,,,0.80,,,0.40,0.90,,,,0.30,,,,,0.40,0.20,0.80,0.80,0.20,,0.50,,0.5,0.4,,0.90,,,0.50,0.30,0.7,,0.40,,0.20,0.20,
02-01-2012,10,0.30,,,,,0.70,,,0.50,0.80,,,,0.40,,,,,0.30,0.40,0.70,,0.30,,0.50,,0.4,0.4,,0.80,,,0.40,,0.6,,0.30,,0.30,0.30,
02-01-2012,11,0.30,,,,,0.70,,,0.40,0.70,,,,0.40,,,,,0.20,0.10,0.80,0.60,0.20,,0.40,,0.5,0.4,,0.80,,,0.40,,0.5,,0.20,,0.30,0.30,
02-01-2012,12,0.30,,,,,0.70,,,0.50,0.60,,,,0.40,,,,,0.20,0.00,0.60,0.60,0.30,,0.40,,0.4,1.2,,0.70,,,0.60,,0.6,,0.20,,0.20,,
02-01-2012,13,0.30,,,,,0.60,,,0.40,0.70,,,,0.30,,,,,0.30,0.00,0.50,0.60,0.30,,0.40,,0.5,1.1,,0.80,,,0.40,,0.7,,0.30,,0.30,0.20,
02-01-2012,14,0.30,,,,,0.70,,,0.40,0.70,,,,0.40,,,,,0.10,0.30,0.70,0.60,0.30,,0.30,,0.5,0.5,,0.70,,,0.50,0.40,0.6,,0.20,,0.20,0.30,
02-01-2012,15,0.30,,,,,0.70,,,0.50,0.70,,,,0.40,,,,,0.20,0.00,0.90,0.60,0.30,,0.40,,0.5,1.0,,0.80,,,0.40,0.40,0.6,,0.20,,0.20,0.20,
02-01-2012,16,0.30,,,,,0.80,,,0.50,0.80,,,,0.40,,,,,0.30,0.00,0.70,0.60,0.30,,0.40,,0.5,0.9,,0.90,,,0.50,0.30,0.6,,0.30,,0.30,0.30,
02-01-2012,17,0.30,,,,,0.70,,,0.40,,,,,0.50,,,,,0.50,0.00,0.70,0.70,0.30,,0.50,,0.6,1.1,,0.80,,,0.50,0.30,0.5,,0.40,,0.30,0.20,
02-01-2012,18,0.30,,,,,0.60,,,0.50,0.90,,,,0.40,,,,,0.40,0.20,0.70,0.90,0.30,,0.50,,0.5,1.1,,0.90,,,0.40,0.30,0.6,,0.40,,0.30,0.20,
