,HGM,MER,CAM
Enero,1.1642253521126762,1.2400849858356942,1.1270635994587281
Febrero,1.0993788819875776,1.3772727272727274,1.0704204204204206
Marzo,0.861731843575419,1.157796852646638,0.7948369565217391
Abril,0.942296511627907,1.249632892804699,0.9197916666666666
Mayo,0.8423562412342215,1.1145685997171146,0.9287856071964018
Junio,0.7152298850574712,1.0820267686424474,0.6758474576271186
Julio,0.6596045197740112,0.9597345132743363,0.6147058823529412
Agosto,0.6799438990182328,0.9481375358166189,0.5560875512995896
Septiembre,0.9143895348837208,1.105942028985507,0.8108416547788875
Octubre,0.8519943019943022,1.0735042735042735,0.724320652173913
Noviembre,0.9137481910274965,1.132463768115942,0.753399433427762
Diciembre,1.1445224719101126,1.445874125874126,1.0128900949796473
