Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-01-2016,1,,0.70,0.000,,,,,1.80,1.40,,1.50,0.80,0.0,0.90,0.00,1.30,,0.00,1.20,,,1.70,,,,1.00,1.60,,1.20,0.90,,,2.10,,,0.0,,,,0.00,1.00,,0.0,1.00,1.80,,,2.20,
01-01-2016,2,,1.00,0.000,,,,,1.90,1.10,,1.80,1.30,0.0,1.20,0.00,1.50,,0.00,1.60,,,2.30,,,,1.60,1.40,,1.20,0.80,,,1.60,,,0.0,,,,0.00,1.20,,0.0,1.20,1.70,,,2.50,
01-01-2016,3,,1.00,0.000,,,,,1.70,1.00,,1.70,1.70,0.0,1.00,0.00,1.50,,0.00,1.30,,,2.40,,,,1.40,1.10,,1.10,1.00,,,1.20,,,0.0,,,,0.00,1.60,,0.0,1.40,1.50,,,2.40,
01-01-2016,4,,1.00,0.000,,,,,1.80,1.30,,1.40,1.00,0.0,1.00,0.00,1.70,,0.00,1.40,,,1.90,,,,1.30,1.40,,1.20,1.00,,,1.50,,,0.0,,,,0.00,1.50,,0.0,1.50,1.30,,,1.70,
01-01-2016,5,,1.00,0.000,,,,,2.00,1.50,,1.40,1.10,0.0,1.10,0.00,1.60,,0.00,1.50,,,1.40,,,,1.00,1.70,,1.10,1.30,,,1.10,,,0.0,,,,0.00,1.40,,0.0,1.50,1.30,,,1.90,
01-01-2016,6,,0.80,0.000,,,,,1.80,1.40,,1.40,1.60,0.0,1.40,0.00,1.30,,0.00,1.20,,,1.20,,,,1.20,1.80,,0.80,1.30,,,1.20,,,0.0,,,,0.00,1.20,,0.0,1.40,1.10,,,2.00,
01-01-2016,7,,1.00,0.000,,,,,1.30,1.30,,1.10,1.40,0.0,0.80,0.00,1.00,,0.00,1.40,,,1.20,,,,1.50,1.20,,0.80,1.10,,,1.20,,,0.0,,,,0.00,1.20,,0.0,1.40,1.00,,,1.90,
01-01-2016,8,,0.90,0.000,,,,,1.50,1.30,,1.60,2.10,0.0,1.20,0.00,1.20,,0.00,1.30,,,1.30,,,,1.80,1.10,,1.00,1.30,,,1.10,,,0.0,,,,0.00,1.60,,0.0,1.00,1.10,,,1.80,
01-01-2016,9,,1.00,0.000,,,,,1.70,1.30,,1.30,1.40,0.0,0.80,0.00,1.50,,0.00,1.40,,,1.40,,,,1.60,1.20,,1.20,1.20,,,1.10,,,0.0,,,,0.00,1.80,,0.0,1.20,1.30,,,1.60,
01-01-2016,10,,1.00,0.000,,,,,1.80,1.10,,0.90,1.20,0.0,1.00,0.00,1.30,,0.00,1.50,,,1.40,,,,1.30,1.10,,1.00,0.90,,,1.10,,,0.0,,,,0.00,1.40,,0.0,1.20,1.20,,,1.60,
