Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-03-2019,1,0.40,0.20,,,0.20,,0.70,,0.70,,0.50,0.40,,,,,,,0.70,,0.20,0.70,,0.80,1.00,,0.60,0.10,0.10,0.50,,0.20,0.60,0.30,,,,0.50,,,0.50,0.80,,0.50,0.50,,,0.70,
01-03-2019,2,0.60,0.20,,,0.20,,0.80,,0.60,,0.50,0.60,,,,,,,0.80,,0.20,0.60,,0.80,0.80,,0.60,0.20,0.40,0.30,,0.40,0.70,0.20,,,,0.20,,,0.40,0.60,,0.50,0.40,,,1.10,
01-03-2019,3,0.40,0.20,,,0.20,,0.70,,0.30,,0.40,0.30,,,,,,,0.80,,0.10,0.40,,0.80,0.80,,0.70,0.30,0.60,0.20,,0.60,0.60,0.20,,,,0.20,,,0.40,0.80,,0.60,0.40,,,0.70,
01-03-2019,4,0.30,0.50,,,0.20,,0.50,,0.50,,0.40,0.50,,,,,,,0.60,,0.10,0.50,,0.60,1.00,,0.60,0.30,0.60,0.20,,0.70,0.80,0.20,,,,0.20,,,0.40,0.50,,0.60,0.30,,,0.50,
01-03-2019,5,0.30,0.40,,,0.30,,0.50,,0.40,,0.30,0.70,,,,,,,0.60,,0.10,0.50,,0.60,1.20,,0.90,0.30,0.50,0.10,,0.70,0.60,0.20,,,,0.20,,,0.20,0.40,,0.60,0.50,,,0.80,
01-03-2019,6,0.40,0.20,,,0.50,,0.70,,0.20,,0.30,0.70,,,,,,,0.80,,0.10,0.90,,0.90,1.40,,1.20,0.20,0.80,0.10,,1.20,0.90,0.10,,,,0.40,,,0.50,0.60,,0.50,0.40,,,1.20,
01-03-2019,7,0.70,0.20,,,1.00,,1.00,,0.40,,1.60,1.30,,,,,,,1.10,,0.10,1.70,,1.20,2.50,,1.90,0.10,1.80,0.40,,1.70,2.30,0.30,,,,0.70,,,0.90,1.20,,0.80,1.00,,,2.70,
01-03-2019,8,0.80,0.20,,,1.50,,1.50,,1.40,,1.20,2.30,,,,,,,1.20,,0.10,1.70,,1.90,3.40,,1.90,0.10,3.00,0.80,,2.50,1.30,0.50,,,,1.00,,,1.70,1.80,,1.10,1.40,,,2.00,
01-03-2019,9,0.70,0.60,,,0.90,,0.90,,1.20,,1.20,1.90,,,,,,,1.40,,0.10,1.50,,2.00,3.10,,1.70,0.30,2.50,0.90,,2.40,1.70,0.90,,,,1.10,,,1.80,2.10,,1.00,1.30,,,2.10,
01-03-2019,10,0.50,,,,0.60,,0.90,,0.80,,0.50,0.90,,,,,,,1.60,,0.10,1.30,,1.20,2.60,,1.60,0.40,1.20,0.90,,1.50,1.40,1.10,,,,0.60,,,1.30,0.90,,0.80,1.80,,,1.10,
