,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,0.2,0.4,0.4,0.340661938534279,0.5823024054982817,0.5304166666666666,0.31299128077588806,0.4959174372886481,0.49806841780803823
Febrero,0.3,0.4,0.3,0.4242962962962963,0.5142300194931774,0.45413533834586467,0.3481224347635021,0.41983562831207516,0.43880163997677646
Marzo,0.2,0.3,0.3,0.31769662921348313,0.43070539419087134,0.400137741046832,0.2556726944423629,0.3439592279374516,0.36185343999431274
Abril,0.2,0.3,0.2,0.22349570200573066,0.32834757834757833,0.285,0.1686075579261562,0.2296989383289531,0.23190601667970168
Mayo,0.3,0.3,0.2,0.2941988950276243,0.3474341192787795,0.2952843273231623,0.18011689518861718,0.2607621125360392,0.24416514991820926
Junio,0.2,0.2,0.2,0.23390557939914164,0.2960902255639098,0.2548340548340548,0.15405892226817078,0.20011229748849457,0.16793675659103016
Julio,0.2,0.3,0.3,0.255433287482806,0.3026610644257703,0.31798063623789763,0.16654005596336124,0.2088670566985145,0.209953997496996
Agosto,0.3,0.3,0.2,0.2802238805970149,0.37089136490250696,0.2553867403314918,0.1591784451648818,0.2334079264902611,0.21230797755692427
Septiembre,,0.3,0.2,,0.3202486678507993,0.29642346208869813,,0.2479422975091779,0.23394296397690717
Octubre,,0.4,0.3,,0.45384615384615384,0.3398876404494382,,0.2984951122556423,0.2783495435064218
Noviembre,,0.5,0.3,,0.5324749642346209,0.417956204379562,,0.3673899623029538,0.3680379832890444
Diciembre,,0.4,0.4,,0.5144662921348315,0.5511177347242922,,0.3720188530055661,0.4364317007292527
