Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-01-2012,1,31,,37,,42,,,25,,37,34,,33,,44,,,43,45,41,12,,44,,47,,,36,,,58,40,7,,42,45,46,
01-01-2012,2,25,,34,,41,,,28,,40,36,,33,,46,,,46,46,39,31,,44,,47,,,33,,,48,43,8,,40,40,50,
01-01-2012,3,27,,28,,38,,,30,,39,43,,37,,42,,,45,46,30,33,,47,,41,,,23,,,45,42,14,,33,48,47,
01-01-2012,4,21,,27,,37,,,26,,40,36,,36,,38,,,41,44,31,33,,42,,40,,,40,,,45,38,15,,31,41,45,
01-01-2012,5,19,,27,,33,,,24,,36,23,,31,,38,,,41,40,31,30,,38,,40,,,33,,,35,35,7,,30,38,41,
01-01-2012,6,19,,27,,32,,,22,,35,21,,26,,38,,,36,40,32,28,,35,,38,,,31,,,34,32,6,,31,38,42,
01-01-2012,7,16,,23,,31,,,19,,32,34,,27,,36,,,38,41,30,27,,31,,35,,,31,,,33,30,5,,31,34,39,
01-01-2012,8,14,,21,,31,,,14,,33,25,,24,,35,,,36,38,28,26,,33,,32,,,29,,,31,31,8,,32,31,34,
01-01-2012,9,13,,16,,33,,,18,,51,10,,24,,50,,,54,43,33,33,,33,,41,,,32,,,46,37,10,,38,43,44,
01-01-2012,10,12,,11,,56,,,17,,93,7,,39,,59,,,71,69,36,40,,40,,46,,,45,,,53,38,41,,52,42,50,
01-01-2012,11,10,,9,,54,,,12,,70,5,,25,,60,,,70,72,43,46,,50,,59,,,43,,,36,21,46,,51,27,59,
01-01-2012,12,8,,9,,29,,,3,,25,10,,10,,40,,,39,45,36,12,,20,,42,,,29,,,30,10,28,,42,14,38,
01-01-2012,13,3,,11,,13,,,0,,15,10,,13,,16,,,8,16,13,11,,15,,,,,22,,,22,7,15,,,10,13,
01-01-2012,14,3,,11,,9,,,0,,9,10,,10,,10,,,7,12,8,3,,10,,4,,,6,,,17,6,10,,,9,12,
01-01-2012,15,3,,9,,10,,,0,,7,9,,10,,10,,,6,10,9,3,,9,,5,,,4,,,18,3,7,,,7,12,
01-01-2012,16,3,,9,,9,,,0,,7,8,,9,,11,,,7,12,9,4,,10,,6,,,5,,,16,4,7,,3,8,14,
01-01-2012,17,4,,10,,13,,,1,,9,8,,11,,13,,,8,13,10,5,,12,,8,,,6,,,18,5,10,,5,9,15,
01-01-2012,18,5,,11,,11,,,0,,12,11,,14,,14,,,7,19,12,9,,14,,12,,,8,,,21,7,11,,8,7,15,
01-01-2012,19,6,,14,,16,,,1,,14,14,,24,,13,,,8,17,15,10,,18,,13,,,10,,,22,9,14,,15,9,14,
01-01-2012,20,6,,15,,18,,,1,,16,17,,19,,15,,,8,19,18,10,,19,,14,,,15,,,,10,13,,16,12,13,
01-01-2012,21,8,,17,,16,,,2,,18,9,,15,,17,,,8,23,,13,,22,,13,,,12,,,28,13,14,,14,12,12,
01-01-2012,22,7,,15,,17,,,2,,18,12,,14,,17,,,9,19,22,14,,27,,14,,,15,,,28,12,15,,19,13,12,
01-01-2012,23,5,,13,,18,,,3,,17,10,,12,,17,,,6,18,21,14,,16,,12,,,16,,,27,12,14,,18,11,12,
01-01-2012,24,4,,11,,15,,,4,,19,7,,12,,11,,,5,14,14,14,,14,,10,,,15,,,26,10,14,,18,9,12,
02-01-2012,1,3,,9,,12,,,1,,13,8,,10,,11,,,5,11,8,12,,9,,8,,,12,,,,6,11,,12,7,9,
02-01-2012,2,3,,8,,11,,,0,,9,8,,9,,10,,,4,9,8,11,,9,,4,,,10,,,,4,10,,7,7,5,
02-01-2012,3,3,,6,,9,,,0,,13,5,,6,,8,,,3,9,7,7,,7,,3,,,6,,,,2,8,,4,5,5,
02-01-2012,4,2,,5,,7,,,0,,7,6,,10,,5,,,3,5,5,5,,6,,3,,,4,,,,3,7,,3,6,6,
02-01-2012,5,3,,6,,12,,,1,,4,6,,7,,6,,,3,7,4,2,,8,,4,,,3,,,,4,4,,4,5,8,
02-01-2012,6,4,,9,,16,,,0,,12,5,,7,,8,,,4,10,10,7,,12,,5,,,6,,,23,8,7,,10,6,9,
02-01-2012,7,6,,13,,22,,,1,,20,5,,12,,13,,,9,16,13,9,,17,,8,,,12,,,27,12,10,,13,9,11,
02-01-2012,8,7,,14,,25,,,5,,25,9,,16,,20,,,12,23,16,13,,21,,13,,,13,,,31,17,13,,19,17,9,
02-01-2012,9,7,,14,,22,,,3,,22,11,,16,,18,,,12,18,15,13,,17,,11,,,19,,,27,16,14,,16,13,11,
02-01-2012,10,5,,12,,20,,,1,,20,11,,14,,,,,14,14,,14,,16,,8,,,14,,,24,,16,,10,9,12,
02-01-2012,11,5,,13,,19,,,0,,20,13,,16,,,,,10,18,11,12,,13,,10,,,13,,,23,,15,,11,8,13,
02-01-2012,12,5,,15,,18,,,0,,18,13,,16,,,,,10,16,12,14,,13,,8,,,10,,,28,,19,,11,8,,
02-01-2012,13,4,,14,,16,,,0,,21,13,,13,,,,,8,15,11,15,,13,,8,,,12,,,23,,20,,13,8,12,
02-01-2012,14,4,,14,,20,,,0,,23,11,,18,,,,,10,22,11,16,,12,,9,,,9,,,27,9,22,,11,9,13,
02-01-2012,15,4,,15,,22,,,0,,,17,,19,,26,,,9,25,11,18,,14,,13,,,13,,,26,10,22,,9,7,12,
02-01-2012,16,5,,18,,24,,,2,,22,18,,21,,24,,,8,24,11,20,,17,,13,,,18,,,31,10,23,,14,9,15,
02-01-2012,17,5,,20,,22,,,2,,21,18,,24,,21,,,10,24,17,19,,21,,16,,,13,,,29,10,22,,20,10,13,
02-01-2012,18,6,,20,,19,,,2,,25,18,,23,,20,,,10,23,21,20,,22,,15,,,20,,,28,11,22,,18,11,13,
02-01-2012,19,6,,21,,23,,,3,,24,16,,22,,21,,,13,24,22,22,,25,,18,,,20,,,25,12,22,,21,12,13,
02-01-2012,20,8,,20,,26,,,4,,28,15,,24,,21,,,12,21,22,24,,27,,18,,,21,,,24,15,24,,22,12,14,
02-01-2012,21,6,,20,,22,,,5,,29,17,,18,,27,,,10,29,24,23,,26,,16,,,19,,,33,14,25,,21,13,12,
02-01-2012,22,5,,16,,28,,,5,,30,13,,16,,33,,,15,26,21,18,,21,,13,,,23,,,29,18,20,,22,9,13,
02-01-2012,23,5,,14,,31,,,7,,21,10,,14,,33,,,15,27,18,12,,18,,14,,,25,,,29,13,15,,28,11,10,
02-01-2012,24,5,,12,,18,,,7,,22,7,,12,,29,,,10,20,15,11,,16,,8,,,20,,,29,9,13,,25,9,8,
03-01-2012,1,7,,9,,25,,,4,,19,7,,9,,29,,,9,,12,8,,13,,11,,,19,,,24,8,11,,21,10,8,
03-01-2012,2,6,,8,,24,,,3,,13,6,,7,,29,,,6,,10,5,,10,,14,,,16,,,21,6,6,,20,7,8,
03-01-2012,3,4,,8,,22,,,3,,11,3,,6,,26,,,5,,8,3,,9,,11,,,12,,,16,8,6,,16,11,6,
03-01-2012,4,6,,9,,21,,,4,,12,4,,7,,24,,,6,16,7,3,,11,,8,,,12,,,20,9,5,,15,17,8,
03-01-2012,5,7,,9,,27,,,5,,12,5,,7,,20,,,12,19,9,4,,14,,11,,,12,,,19,9,5,,16,14,13,
03-01-2012,6,9,,13,,25,,,6,,13,6,,10,,29,,,17,26,16,4,,19,,16,,,16,,,27,10,10,,19,13,18,
03-01-2012,7,15,,23,,36,,,8,,17,10,,19,,27,,,18,27,22,12,,30,,19,,,21,,,37,16,16,,19,21,22,
03-01-2012,8,19,,30,,37,,,11,,29,10,,29,,30,,,26,28,27,13,,37,,30,,,24,,,39,27,19,,25,27,35,
03-01-2012,9,13,,24,,37,,,12,,27,15,,28,,34,,,25,36,27,15,,32,,34,,,21,,,40,25,17,,30,16,27,
03-01-2012,10,6,,11,,37,,,9,,30,10,,17,,31,,,20,34,27,14,,23,,31,,,21,,,32,21,18,,27,10,23,
03-01-2012,11,5,,9,,30,,,5,,25,10,,14,,30,,,27,35,27,11,,21,,26,,,,,,27,15,17,,27,10,21,
03-01-2012,12,5,,12,,26,,,2,,22,9,,13,,26,,,24,29,22,10,,20,,22,,,,,,30,12,15,,27,10,33,
03-01-2012,13,6,,21,,33,,,2,,22,11,,24,,30,,,32,34,26,14,,20,,27,,,,,,34,12,18,,,10,35,
03-01-2012,14,5,,24,,41,,,4,,28,14,,32,,39,,,35,45,29,17,,21,,37,,,25,,,47,13,23,,28,10,34,
03-01-2012,15,6,,28,,50,,,4,,39,22,,32,,,,,24,49,30,26,,20,,37,,,26,,,57,13,29,,28,10,27,
03-01-2012,16,9,,34,,40,,,7,,49,33,,36,,48,,,17,52,34,30,,20,,33,,,27,,,57,15,28,,34,11,25,
03-01-2012,17,19,,26,,47,,,9,,63,35,,49,,,,,23,49,38,43,,26,,31,,,31,,,61,18,28,,37,14,32,
03-01-2012,18,12,,27,,65,,,11,,71,46,,51,,56,,,25,65,50,46,,31,,33,,,36,,,59,26,32,,54,13,35,
03-01-2012,19,17,,45,,49,,,14,,87,68,,50,,85,,,36,65,48,62,,34,,53,,,42,,,53,28,29,,73,14,30,
03-01-2012,20,14,,46,,40,,,12,,58,66,,45,,51,,,33,47,31,52,,27,,35,,,44,,,47,24,36,,33,19,27,
03-01-2012,21,12,,39,,39,,,8,,48,42,,41,,43,,,29,40,24,44,,25,,32,,,30,,,46,20,36,,24,19,36,
