Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-05-2014,1,,,24,,49,,,25,,39,33,33,31,47,48,,39,,47,39,35,,40,22,,48,,32,,,46,44,12,49,47,27,,
01-05-2014,2,,,9,,49,,,24,,34,21,29,30,49,46,,32,,48,25,26,,33,19,,46,,32,,,38,37,7,46,42,24,,
01-05-2014,3,,,12,,36,,,20,,35,22,29,20,42,40,,26,,43,24,29,,23,29,,43,,28,,,19,30,20,42,36,27,,
01-05-2014,4,,,12,,27,,,20,,36,35,27,15,31,37,,29,,35,23,27,,24,23,,38,,30,,,24,32,30,35,29,24,,
01-05-2014,5,,,19,,32,,,22,,32,36,26,20,33,33,,28,,30,26,27,,26,27,,36,,34,,,28,35,27,33,31,19,,
01-05-2014,6,23,,25,,32,,,19,,30,32,28,25,34,34,,25,,31,31,30,,24,29,,35,,30,,,30,35,15,34,33,27,,
01-05-2014,7,19,,26,,32,,,17,,30,18,26,23,34,33,,26,,32,33,30,,22,26,,34,,27,,,30,35,13,33,33,25,,
01-05-2014,8,18,,30,,41,,,21,,41,12,30,31,42,38,,30,,40,38,35,,23,24,,40,,29,,,37,40,27,32,35,31,,
01-05-2014,9,27,,46,,61,,,26,,44,13,30,55,46,58,,44,,48,39,38,,40,27,,42,,26,,,50,44,28,34,43,27,,
01-05-2014,10,18,,53,,68,,,15,,38,7,28,70,42,44,,47,,52,32,30,,45,24,,31,,12,,,52,45,34,23,30,24,,
01-05-2014,11,10,,55,,50,,,4,,20,,24,47,24,20,,22,,32,9,22,,22,17,,16,,4,,,49,41,21,6,11,33,,
01-05-2014,12,7,,35,,28,,,3,,12,,9,43,15,13,,15,,25,9,12,,16,6,,12,,5,,,44,26,19,7,8,19,,
01-05-2014,13,5,,24,,20,,,2,,10,,8,24,16,14,,16,,19,10,8,,14,6,,9,,5,,,29,21,14,7,8,12,,
01-05-2014,14,8,,16,,21,,,3,,7,6,9,20,12,14,,17,,13,8,8,,13,11,,9,,6,,,18,21,14,8,7,15,,
01-05-2014,15,11,,20,,18,,,4,,7,12,9,27,14,16,,20,,25,10,7,,12,10,,9,,4,,,19,19,18,13,9,16,,
01-05-2014,16,15,,18,,24,,,5,,9,11,18,21,28,20,,28,,31,17,7,,25,12,,14,,4,,,17,19,11,12,11,22,,
01-05-2014,17,15,,10,,37,,,6,,20,10,20,29,35,38,,31,,42,24,10,,26,11,,14,,3,,,18,16,4,10,22,22,,
