Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-07-2016,1,13,14,0,13,,,30,25,,31,,25,30,,12,,0,31,,,,,,29,,,20,21,,,25,27,13,0,,14,,0,24,12,0,31,30,11,27,
01-07-2016,2,8,18,0,13,,,26,20,,23,,21,27,,15,,0,27,,,,,,26,,,22,16,,,26,23,19,0,,16,,0,21,11,0,22,25,12,30,
01-07-2016,3,14,14,0,13,,,29,15,,18,,21,24,,12,,0,29,,,,,,27,,,28,13,,,27,17,23,0,,13,,0,28,8,0,20,33,11,31,
01-07-2016,4,14,18,0,12,,,29,24,,19,,25,23,,11,,0,34,,,,,,30,,,32,21,,,22,16,27,0,,7,,0,27,22,0,18,38,13,33,
01-07-2016,5,11,22,0,15,,,28,22,,17,,25,25,,15,,0,31,,30,,,,30,,,39,19,,,24,21,27,0,,11,,0,24,22,0,18,31,21,28,
01-07-2016,6,22,23,0,17,,,25,24,,24,,25,28,,20,,0,27,,29,,,,27,,,39,22,,,27,23,31,0,,13,,0,27,21,0,25,30,23,33,
01-07-2016,7,,25,0,17,,,28,27,,23,,28,30,,19,,0,28,,31,,,,27,,,41,24,,,30,23,32,0,,20,,0,29,23,0,29,31,25,33,
01-07-2016,8,24,25,0,16,,,25,32,,21,,32,28,,19,,0,33,,38,,,,31,,,38,25,,,33,27,33,0,,22,,0,26,24,0,26,31,28,37,
01-07-2016,9,19,20,0,16,,,25,22,,8,,32,23,,18,,0,36,,33,,,,35,,,37,27,,,,27,34,0,,24,,0,23,28,0,20,25,19,37,
01-07-2016,10,15,21,0,18,,,22,23,,8,,26,21,,20,,0,32,,27,,,,33,,,41,26,,,36,20,34,0,,17,,0,29,30,0,17,24,,34,
01-07-2016,11,17,18,0,14,,,23,23,,8,,30,17,,22,,0,39,,31,,,,33,,,40,26,,,40,16,39,0,,12,,0,31,34,0,18,24,16,43,
01-07-2016,12,17,17,0,12,,,31,25,,7,,34,14,,17,,0,40,,41,,,,41,,,37,28,,,39,11,40,0,,10,,0,25,28,0,19,43,12,45,
01-07-2016,13,13,21,0,6,,,39,30,,7,,27,13,,17,,0,35,,34,,,,43,,,38,29,,,29,15,36,0,,14,,0,30,25,0,24,43,11,42,
01-07-2016,14,11,24,0,7,,,36,24,,6,,30,17,,20,,0,38,,36,,,,44,,,26,27,,,19,16,29,0,,14,,0,39,21,0,29,37,8,32,
01-07-2016,15,8,23,0,11,,,36,38,,5,,42,24,,23,,0,38,,36,,,,30,,,18,30,,,16,21,25,0,,12,,0,42,12,0,32,29,6,26,
01-07-2016,16,8,26,0,15,,,46,34,,8,,45,31,,19,,0,51,,44,,,,63,,,23,50,,,17,36,21,0,,11,,0,43,15,0,15,24,8,32,
01-07-2016,17,11,26,0,16,,,27,23,,7,,27,28,,,,0,26,,27,,,,,,,18,29,,,17,27,15,0,,8,,0,31,11,0,15,19,10,19,
01-07-2016,18,23,19,0,22,,,38,23,,10,,25,18,,30,,0,33,,36,,,,,,,22,33,,,26,18,25,0,,16,,0,42,23,0,26,31,21,30,
01-07-2016,19,18,16,0,32,,,44,27,,23,,38,19,,34,,0,39,,39,,,,,,,23,40,,,39,29,41,0,,21,,0,36,23,0,29,38,24,31,
01-07-2016,20,16,22,0,28,,,42,29,,18,,35,25,,38,,0,46,,47,,,,45,,,44,31,,,32,28,33,0,,16,,0,53,31,0,21,42,27,34,
01-07-2016,21,20,20,0,39,,,45,23,,25,,30,29,,45,,0,49,,45,,,,50,,,48,26,,,35,24,45,0,,18,,0,51,31,0,29,47,41,39,
01-07-2016,22,26,17,0,36,,,47,28,,32,,30,30,,38,,0,50,,46,,,,46,,,47,34,,,,26,48,0,,25,,0,49,40,0,27,47,29,33,
01-07-2016,23,27,27,0,38,,,48,37,,26,,37,26,,38,,0,49,,45,,,,44,,,43,38,,,34,26,48,0,,16,,0,50,25,0,35,46,32,44,
01-07-2016,24,23,25,0,39,,,46,32,,25,,37,30,,40,,0,47,,43,,,,46,,,31,35,,,32,30,47,0,,21,,0,45,18,0,33,44,36,42,
02-07-2016,1,27,24,0,38,,,45,32,,29,,35,21,,39,,0,45,,40,,,,43,,,36,33,,,30,23,45,0,,22,,0,47,24,0,30,41,39,42,
02-07-2016,2,24,20,0,45,,,44,32,,29,,35,21,,38,,0,43,,38,,,,39,,,37,32,,,26,19,39,0,,21,,0,49,31,0,29,37,32,36,
02-07-2016,3,23,19,0,46,,,39,31,,18,,31,17,,39,,0,43,,36,,,,37,,,23,31,,,29,25,33,0,,13,,0,45,36,0,23,31,32,36,
02-07-2016,4,19,24,0,40,,,35,28,,14,,32,14,,38,,0,38,,30,,,,33,,,23,29,,,27,27,32,0,,7,,0,43,33,0,14,28,28,32,
02-07-2016,5,18,30,0,36,,,31,27,,15,,29,18,,33,,0,34,,31,,,,32,,,29,30,,,27,24,29,0,,12,,0,39,31,0,17,30,25,33,
02-07-2016,6,17,26,0,30,,,32,18,,15,,21,27,,29,,0,36,,28,,,,32,,,29,22,,,26,29,28,0,,21,,0,42,32,0,14,25,26,32,
02-07-2016,7,15,16,0,32,,,33,21,,15,,22,28,,28,,0,36,,27,,,,33,,,31,24,,,28,27,29,0,,21,,0,39,32,0,19,29,26,33,
02-07-2016,8,15,26,0,23,,,40,32,,21,,32,21,,28,,0,40,,36,,,,39,,,33,29,,,31,24,40,0,,18,,0,38,33,0,24,33,23,31,
02-07-2016,9,14,34,0,26,,,41,40,,24,,40,22,,34,,0,41,,42,,,,43,,,29,,,,28,23,46,0,,30,,0,50,30,0,34,43,18,33,
02-07-2016,10,9,27,0,36,,,42,36,,13,,40,27,,42,,0,43,,42,,,,43,,,30,31,,,23,23,44,0,,25,,0,38,25,0,32,45,21,29,
02-07-2016,11,5,26,0,43,,,45,35,,14,,42,29,,43,,0,50,,49,,,,50,,,30,28,,,18,25,39,0,,18,,0,43,24,0,32,38,20,28,
02-07-2016,12,6,20,0,35,,,45,27,,8,,31,31,,41,,0,48,,39,,,,41,,,19,26,,,13,28,28,0,,14,,0,46,18,0,18,27,14,19,
02-07-2016,13,8,12,0,28,,,31,14,,10,,16,29,,42,,0,27,,21,,,,23,,,13,12,,,13,22,16,0,,6,,0,37,16,0,8,12,11,16,
02-07-2016,14,3,8,0,17,,,18,9,,6,,10,19,,36,,0,18,,15,,,,16,,,8,7,,,14,10,10,0,,6,,0,31,9,0,5,6,11,12,
02-07-2016,15,4,9,0,12,,,12,10,,4,,9,18,,25,,0,14,,13,,,,10,,,9,6,,,8,9,8,0,,4,,0,18,16,0,5,5,9,8,
02-07-2016,16,6,7,0,19,,,22,10,,5,,13,21,,20,,0,27,,16,,,,24,,,8,8,,,8,14,9,0,,3,,0,25,16,0,4,5,13,15,
02-07-2016,17,8,14,0,20,,,24,20,,3,,22,18,,17,,0,29,,25,,,,36,,,10,18,,,13,15,16,0,,4,,0,23,18,0,8,10,10,18,
02-07-2016,18,6,23,0,19,,,23,17,,4,,22,21,,14,,0,24,,27,,,,38,,,14,18,,,15,18,19,0,,8,,0,24,15,0,23,33,8,17,
02-07-2016,19,7,19,0,15,,,15,16,,6,,16,19,,15,,0,17,,19,,,,28,,,15,17,,,16,16,14,0,,15,,0,17,11,0,18,18,8,13,
02-07-2016,20,10,19,0,15,,,24,14,,6,,19,16,,12,,0,22,,21,,,,27,,,25,15,,,20,13,21,0,,14,,0,24,14,0,14,21,13,22,
02-07-2016,21,15,14,0,24,,,22,20,,13,,22,19,,26,,0,23,,21,,,,27,,,34,15,,,21,17,30,0,,10,,0,25,25,0,17,20,20,27,
02-07-2016,22,24,8,0,28,,,22,19,,17,,21,23,,36,,0,23,,21,,,,24,,,22,14,,,34,16,28,0,,6,,0,31,37,0,16,17,30,30,
02-07-2016,23,25,5,0,33,,,20,13,,21,,17,14,,23,,0,19,,18,,,,20,,,32,12,,,31,7,35,0,,7,,0,22,38,0,17,21,35,23,
02-07-2016,24,25,3,0,22,,,24,16,,27,,21,15,,28,,0,25,,28,,,,30,,,34,10,,,36,10,37,0,,8,,0,21,23,0,13,25,37,32,
03-07-2016,1,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,0,,,,,
03-07-2016,2,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,0,,,,,
03-07-2016,3,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,0,,,,,
03-07-2016,4,19,14,0,17,,,35,23,,13,,27,23,,22,,0,40,,33,,,,38,27,,20,21,,,27,20,34,0,,10,,0,29,25,0,19,34,23,27,
03-07-2016,5,15,12,0,16,,,26,21,,12,,26,19,,18,,0,34,,30,,,,33,23,,25,19,,,25,21,29,0,,7,,0,24,23,0,16,30,24,26,
03-07-2016,6,14,13,0,18,,,23,16,,15,,21,22,,18,,0,29,,28,,,,31,21,,23,12,,,25,15,27,0,,9,,0,25,25,0,19,26,24,28,
03-07-2016,7,13,20,0,15,,,22,14,,12,,19,22,,17,,0,30,,29,,,,32,22,,22,15,,,22,16,26,0,,13,,0,23,23,0,20,23,20,26,
03-07-2016,8,12,22,0,17,,,28,18,,13,,22,22,,22,,0,26,,31,,,,33,33,,29,17,,,23,15,29,0,,12,,0,22,28,0,19,27,24,30,
03-07-2016,9,14,23,0,22,,,29,23,,12,,30,21,,30,,0,37,,40,,,,43,34,,42,19,,,21,13,31,0,,8,,0,41,34,0,25,47,25,32,
03-07-2016,10,12,28,0,30,,,32,29,,8,,35,20,,29,,0,46,,49,,,,46,30,,44,22,,,19,23,28,0,,5,,0,52,32,0,31,42,20,31,
03-07-2016,11,6,21,0,32,,,32,28,,4,,28,23,,29,,0,41,,42,,,,36,32,,38,23,,,16,19,26,0,,4,,0,34,22,0,20,36,16,23,
03-07-2016,12,6,15,0,32,,,28,21,,3,,28,16,,26,,0,32,,32,,,,29,30,,14,17,,,16,17,20,0,,7,,0,32,20,0,18,24,10,26,
03-07-2016,13,5,17,0,17,,,19,22,,3,,25,18,,37,,0,23,,23,,,,28,25,,11,14,,,17,16,16,0,,14,,0,24,10,0,21,14,7,23,
03-07-2016,14,4,15,0,11,,,19,20,,2,,18,19,,24,,0,19,,16,,,,20,18,,10,19,,,11,18,15,0,,12,,0,22,7,0,13,9,6,14,
03-07-2016,15,2,16,0,8,,,15,12,,2,,15,17,,17,,0,16,,16,,,,20,16,,9,10,,,10,12,10,0,,8,,0,16,7,0,6,7,4,14,
03-07-2016,16,4,10,0,6,,,13,13,,1,,14,16,,19,,0,11,,12,,,,22,17,,9,11,,,8,12,8,0,,6,,0,18,5,0,7,8,4,13,
03-07-2016,17,5,15,0,6,,,10,11,,2,,12,16,,12,,0,10,,12,,,,18,13,,9,12,,,14,12,10,0,,6,,0,17,6,0,7,6,6,15,
03-07-2016,18,7,17,0,13,,,15,11,,5,,14,15,,19,,0,17,,17,,,,22,20,,11,14,,,16,12,12,0,,9,,0,21,10,0,10,8,7,14,
03-07-2016,19,11,11,0,17,,,15,16,,7,,16,16,,31,,0,17,,17,,,,19,13,,13,14,,,15,11,10,0,,12,,0,26,16,0,9,10,14,20,
