Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-01-2017,1,,11,,,,,27,25,,,,37,10,26,33,,,,,30,,,,47,22,,39,17,,,47,13,41,,,35,,,38,37,,34,46,,39,
01-01-2017,2,,12,,,,,32,20,,,,35,11,25,27,,,23,,38,,,,45,12,,44,19,,,39,7,37,,,33,,,33,35,,38,36,,45,
01-01-2017,3,,11,,,,,29,27,,,,34,15,23,30,,,31,,40,,,,41,32,,44,32,,,37,8,37,,,33,,,30,33,,32,43,,45,
01-01-2017,4,29,10,,,,,36,29,,26,,36,11,25,29,,,36,,39,,,,40,35,,44,33,,,39,12,34,,,27,,,30,35,,33,36,,42,
01-01-2017,5,22,9,,,,,34,29,,22,,36,8,20,27,,,36,,34,,,,38,36,,40,22,,,32,11,35,,,24,,,27,34,,34,36,,42,
01-01-2017,6,20,8,,,,,32,27,,22,,33,7,19,25,,,36,,34,,,,37,33,,39,13,,,32,10,35,,,23,,,30,28,,31,35,,39,
01-01-2017,7,17,8,,,,,29,21,,15,,30,20,18,27,,,33,,31,,,,37,31,,34,12,,,32,13,34,,,21,,,31,27,,25,30,,36,
01-01-2017,8,14,7,,,,,28,18,,15,,28,18,12,21,,,32,,30,,,,34,28,,28,13,,,28,19,32,,,16,,,25,27,,24,33,,35,
01-01-2017,9,14,11,,,,,24,18,,14,,27,23,18,20,,,37,,33,,,,43,28,,29,13,,,29,16,39,,,23,,,29,34,,20,26,,45,
01-01-2017,10,11,15,,,,,24,23,,14,,32,13,17,22,,,45,,32,,,,58,44,,32,21,,,25,12,40,,,20,,,30,48,,16,20,,54,
01-01-2017,11,13,11,,,,,32,21,,16,,18,8,12,13,,,23,,21,,,,42,34,,34,18,,,24,8,37,,,17,,,21,38,,13,14,,39,
01-01-2017,12,11,10,,,,,14,12,,15,,13,9,7,10,,,17,,14,,,,23,18,,21,11,,,21,9,16,,,12,,,21,14,,13,11,,22,
01-01-2017,13,11,10,,,,,11,10,,6,,11,9,4,11,,,16,,18,,,,16,11,,13,8,,,16,11,10,,,6,,,17,9,,11,12,,16,
01-01-2017,14,8,9,,,,,12,9,,6,,9,12,6,11,,,13,,12,,,,12,10,,10,9,,,11,9,11,,,6,,,11,11,,8,11,,10,
01-01-2017,15,8,9,,,,,10,9,,5,,9,9,8,9,,,10,,9,,,,14,11,,8,9,,,,10,12,,,6,,,12,12,,8,12,,13,
01-01-2017,16,9,10,,,,,11,11,,5,,10,9,10,10,,,10,,9,,,,14,12,,9,10,,,,10,14,,,6,,,12,14,,10,8,,17,
01-01-2017,17,14,7,,,,,14,10,,7,,11,8,10,15,,,14,,12,,,,15,14,,9,9,,,,11,16,,,,,,15,18,,9,8,,15,
01-01-2017,18,10,6,,,,,16,9,,9,,10,8,17,20,,,16,,13,,,,20,22,,12,10,,,19,12,26,,,6,,,17,23,,9,10,,16,
01-01-2017,19,12,7,,,,,17,10,,13,,14,13,17,20,,,21,,16,,,,22,25,,18,9,,,25,14,33,,,6,,,19,18,,12,15,,26,
01-01-2017,20,14,6,,,,,16,14,,18,,25,12,22,32,,,25,,23,,,,39,36,,37,15,,,31,22,41,,,13,,,35,24,,15,19,,32,
01-01-2017,21,18,8,,,,,19,17,,15,,45,12,21,40,,,42,,36,,,,59,33,,42,21,,,35,18,50,,,20,,,37,28,,22,26,,37,
01-01-2017,22,28,8,,,,,21,31,,14,,39,13,25,46,,,33,,39,,,,59,39,,46,33,,,33,20,57,,,27,,,32,42,,24,27,,43,
01-01-2017,23,32,9,,,,,25,32,,17,,45,14,34,39,,,41,,42,,,,64,32,,47,20,,,39,17,59,,,26,,,55,30,,33,41,,52,
01-01-2017,24,41,12,,,,,40,23,,19,,49,11,31,37,,,45,,46,,,,65,49,,47,16,,,46,20,55,,,20,,,53,31,,26,40,,53,
