,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,27.0,31.0,30.0,27.516666666666666,32.44351464435147,30.82287308228731,11.499391219056342,14.485542896044702,15.461544695132105
Febrero,28.0,33.0,30.0,28.52011922503726,34.142857142857146,30.97289156626506,13.58002694865009,14.268022399211207,15.405504885154038
Marzo,26.0,32.0,24.0,27.14002828854314,32.579527559055116,26.330555555555556,11.777754106106189,13.21603639798928,13.27977159019947
Abril,16.0,20.0,18.0,18.618768328445746,23.19277108433735,21.316091954022987,9.485662708125815,11.756466279321248,11.744673353789612
Mayo,15.0,19.0,17.0,17.80367231638418,22.715672676837727,21.143055555555556,9.57658850089035,12.385963880468339,12.778103297876681
Junio,13.0,18.0,15.0,15.2431654676259,19.196531791907514,17.88005780346821,7.334131749870207,8.383816647955875,8.38776629627564
Julio,16.0,21.0,19.0,17.002785515320333,21.943741209563996,20.28094575799722,7.5663494206286765,9.020770215420193,8.758541311254598
Agosto,17.0,22.0,19.0,17.50980392156863,22.420757363253855,19.518142235123367,6.544134083764159,8.365909689400985,7.7684535759891045
Septiembre,,22.5,20.0,,23.583928571428572,21.3136690647482,,9.611045315267946,8.980255330340281
Octubre,,28.0,24.0,,29.464335664335664,26.18846694796062,,11.664295911149456,11.327689210854473
Noviembre,,32.0,31.0,,33.5379113018598,33.14586466165414,,14.847252133564071,14.291545394771434
Diciembre,,35.0,33.0,,35.206460674157306,33.3008356545961,,13.631510317331067,14.774125460486175
