Promedio horarios de o3Promedio horarios de o3
Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-01-2010,1,15,nr,nr,4,nr,nr,1,4,nr,2,nr,nr,5,nr,2,0,nr,nr,2,nr,5,3,12,nr,nr,4,5,8,1,nr,3,nr,nr,nr,2,nr,nr,
01-01-2010,2,20,nr,nr,5,nr,nr,2,5,nr,3,nr,nr,9,nr,2,3,nr,nr,4,nr,7,3,6,nr,nr,5,5,7,2,nr,3,nr,nr,nr,2,nr,nr,
01-01-2010,3,29,nr,nr,4,nr,nr,3,12,nr,11,nr,nr,17,nr,3,3,nr,nr,6,nr,14,16,18,nr,nr,8,9,8,4,nr,5,nr,nr,nr,2,nr,nr,
01-01-2010,4,29,nr,nr,4,nr,nr,12,32,nr,13,nr,nr,25,nr,21,22,nr,nr,24,nr,18,10,16,nr,nr,12,10,3,15,nr,7,nr,nr,nr,18,nr,nr,
01-01-2010,5,30,nr,nr,9,nr,nr,20,33,nr,11,nr,nr,24,nr,22,15,nr,nr,21,nr,22,18,17,nr,nr,12,17,16,13,nr,9,nr,nr,nr,20,nr,nr,
01-01-2010,6,30,nr,nr,9,nr,nr,22,29,nr,16,nr,nr,22,nr,16,10,nr,nr,16,nr,18,16,21,nr,nr,15,17,21,17,nr,14,nr,nr,nr,25,nr,nr,
01-01-2010,7,31,nr,nr,20,nr,nr,24,29,nr,19,nr,nr,25,nr,17,14,nr,nr,17,nr,20,19,22,nr,nr,17,23,23,14,nr,21,nr,nr,nr,25,nr,nr,
01-01-2010,8,29,nr,nr,18,nr,nr,17,28,nr,21,nr,nr,23,nr,15,10,nr,nr,13,nr,22,21,23,nr,nr,22,22,19,12,nr,21,nr,nr,nr,15,nr,nr,
01-01-2010,9,29,nr,nr,22,nr,nr,21,23,nr,20,nr,nr,20,nr,20,15,nr,nr,19,nr,27,23,27,nr,nr,24,26,22,16,nr,21,nr,nr,nr,19,nr,nr,
01-01-2010,10,36,nr,nr,34,nr,nr,28,32,nr,32,nr,nr,34,nr,28,25,nr,nr,30,nr,30,28,33,nr,nr,32,33,29,30,nr,34,nr,nr,nr,29,nr,nr,
01-01-2010,11,35,nr,nr,42,nr,nr,36,41,nr,41,nr,nr,40,nr,36,32,nr,nr,36,nr,37,39,38,nr,nr,41,42,35,33,nr,37,nr,nr,nr,38,nr,nr,
