Promedio horarios de o3Promedio horarios de o3
Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-05-2011,1,42,nr,nr,nr,nr,nr,nr,55,46,56,nr,nr,33,nr,49,nr,nr,nr,nr,nr,46,nr,44,nr,nr,58,nr,59,nr,nr,43,nr,52,nr,53,nr,47,
01-05-2011,2,37,nr,nr,nr,nr,nr,nr,49,43,61,nr,nr,30,nr,54,nr,nr,nr,nr,nr,51,nr,52,nr,nr,59,nr,57,nr,nr,41,nr,48,nr,51,nr,53,
01-05-2011,3,28,nr,nr,nr,nr,nr,nr,40,42,56,nr,nr,21,nr,42,nr,nr,nr,nr,nr,53,nr,53,nr,nr,51,nr,47,nr,nr,41,nr,39,nr,44,nr,48,
01-05-2011,4,26,nr,nr,nr,nr,nr,nr,22,25,50,nr,nr,16,nr,37,nr,nr,nr,nr,nr,52,nr,34,nr,nr,45,nr,32,nr,nr,41,nr,26,nr,31,nr,50,
01-05-2011,5,16,nr,nr,nr,nr,nr,nr,11,21,43,nr,nr,17,nr,26,nr,nr,nr,nr,nr,37,nr,19,nr,nr,37,nr,30,nr,nr,32,nr,26,nr,24,nr,31,
01-05-2011,6,22,nr,nr,nr,nr,nr,nr,1,10,26,nr,nr,9,nr,1,nr,nr,nr,nr,nr,20,nr,12,nr,nr,31,nr,35,nr,nr,4,nr,28,nr,11,nr,18,
01-05-2011,7,16,nr,nr,nr,nr,nr,nr,1,9,23,nr,nr,4,nr,6,nr,nr,nr,nr,nr,10,nr,5,nr,nr,17,nr,29,nr,nr,3,nr,27,nr,11,nr,5,
01-05-2011,8,21,nr,nr,nr,nr,nr,nr,nr,13,19,nr,nr,8,nr,14,nr,nr,nr,nr,nr,11,nr,24,nr,nr,18,nr,18,nr,nr,10,nr,36,nr,24,nr,12,
01-05-2011,9,44,nr,nr,nr,nr,nr,nr,46,38,39,nr,nr,41,nr,39,nr,nr,nr,nr,nr,41,nr,44,nr,nr,45,nr,41,nr,nr,22,nr,44,nr,37,nr,39,
01-05-2011,10,72,nr,nr,nr,nr,nr,nr,66,57,61,nr,nr,54,nr,51,nr,nr,nr,nr,nr,59,nr,62,nr,nr,60,nr,64,nr,nr,35,nr,63,nr,57,nr,62,
01-05-2011,11,84,nr,nr,nr,nr,nr,nr,nr,82,86,nr,nr,72,nr,77,nr,nr,nr,nr,nr,80,nr,83,nr,nr,84,nr,93,nr,nr,69,nr,82,nr,75,nr,86,
01-05-2011,12,97,nr,nr,nr,nr,nr,nr,nr,98,96,nr,nr,87,nr,95,nr,nr,nr,nr,nr,92,nr,87,nr,nr,98,nr,120,nr,nr,87,nr,97,nr,106,nr,112,
01-05-2011,13,93,nr,nr,nr,nr,nr,nr,103,101,113,nr,nr,92,nr,127,nr,nr,nr,nr,nr,100,nr,86,nr,nr,112,nr,nr,nr,nr,92,nr,104,nr,125,nr,89,
01-05-2011,14,100,nr,nr,nr,nr,nr,nr,101,96,129,nr,nr,91,nr,113,nr,nr,nr,nr,nr,122,nr,90,nr,nr,137,nr,nr,nr,nr,85,nr,122,nr,114,nr,92,
01-05-2011,15,98,nr,nr,nr,nr,nr,nr,103,100,107,nr,nr,92,nr,92,nr,nr,nr,nr,nr,111,nr,97,nr,nr,116,nr,nr,nr,nr,100,nr,129,nr,97,nr,104,
01-05-2011,16,89,nr,nr,nr,nr,nr,nr,104,95,104,nr,nr,91,nr,101,nr,nr,nr,nr,nr,107,nr,89,nr,nr,105,nr,nr,nr,nr,98,nr,118,nr,105,nr,96,
01-05-2011,17,82,nr,nr,nr,nr,nr,nr,85,86,105,nr,nr,97,nr,94,nr,nr,nr,nr,nr,108,nr,77,nr,nr,106,nr,nr,nr,nr,90,nr,98,nr,100,nr,90,
01-05-2011,18,77,nr,nr,nr,nr,nr,nr,85,68,83,nr,nr,86,nr,70,nr,nr,nr,nr,nr,94,nr,60,nr,nr,83,nr,nr,nr,nr,85,nr,88,nr,78,nr,73,
01-05-2011,19,73,nr,nr,nr,nr,nr,nr,76,48,79,nr,nr,68,nr,68,nr,nr,nr,nr,nr,83,nr,55,nr,nr,72,nr,nr,nr,nr,64,nr,73,nr,78,nr,62,
01-05-2011,20,67,nr,nr,nr,nr,nr,nr,72,48,68,nr,nr,58,nr,65,nr,nr,nr,nr,nr,69,nr,49,nr,nr,66,nr,nr,nr,nr,58,nr,72,nr,64,nr,58,
01-05-2011,21,65,nr,nr,nr,nr,nr,nr,64,42,50,nr,nr,54,nr,51,nr,nr,nr,nr,nr,46,nr,46,nr,nr,nr,nr,nr,nr,nr,58,nr,55,nr,55,nr,60,
01-05-2011,22,54,nr,nr,nr,nr,nr,nr,70,53,36,nr,nr,44,nr,33,nr,nr,nr,nr,nr,49,nr,49,nr,nr,nr,nr,nr,nr,nr,51,nr,47,nr,47,nr,59,
01-05-2011,23,54,nr,nr,nr,nr,nr,nr,59,55,36,nr,nr,30,nr,40,nr,nr,nr,nr,nr,38,nr,44,nr,nr,44,nr,nr,nr,nr,41,nr,43,nr,50,nr,40,
01-05-2011,24,54,nr,nr,nr,nr,nr,nr,58,54,38,nr,nr,25,nr,46,nr,nr,nr,nr,nr,50,nr,52,nr,nr,41,nr,nr,nr,nr,37,nr,52,nr,54,nr,55,
02-05-2011,1,46,nr,nr,nr,nr,nr,nr,41,45,21,nr,nr,12,nr,39,nr,nr,nr,nr,nr,26,nr,49,nr,nr,29,nr,nr,nr,nr,41,nr,33,nr,40,nr,43,
02-05-2011,2,45,nr,nr,nr,nr,nr,nr,nr,22,27,nr,nr,19,nr,33,nr,nr,nr,nr,nr,19,nr,37,nr,nr,41,nr,nr,nr,nr,31,nr,19,nr,46,nr,45,
02-05-2011,3,38,nr,nr,nr,nr,nr,nr,nr,24,23,nr,nr,23,nr,35,nr,nr,nr,nr,nr,16,nr,36,nr,nr,23,nr,nr,nr,nr,21,nr,20,nr,41,nr,47,
02-05-2011,4,20,nr,nr,nr,nr,nr,nr,nr,5,9,nr,nr,19,nr,24,nr,nr,nr,nr,nr,27,nr,18,nr,nr,10,nr,nr,nr,nr,nr,nr,24,nr,31,nr,26,
02-05-2011,5,5,nr,nr,nr,nr,nr,nr,nr,1,10,nr,nr,7,nr,11,nr,nr,nr,nr,nr,27,nr,7,nr,nr,15,nr,nr,nr,nr,5,nr,21,nr,19,nr,4,
02-05-2011,6,3,nr,nr,nr,nr,nr,nr,nr,2,3,nr,nr,2,nr,2,nr,nr,nr,nr,nr,6,nr,3,nr,nr,4,nr,nr,nr,nr,2,nr,15,nr,7,nr,1,
02-05-2011,7,6,nr,nr,nr,nr,nr,nr,nr,1,2,nr,nr,1,nr,1,nr,nr,nr,nr,nr,1,nr,3,nr,nr,nr,nr,nr,nr,nr,2,nr,15,nr,1,nr,2,
