Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-06-2011,1,36,,,,,,,39,31,36,39,,32,,33,,,,34,,31,,34,,,32,,,,,26,,34,,37,,36,
01-06-2011,2,35,,,,,,,42,33,37,35,,31,,31,,,,33,,34,,34,,,34,,,,,27,,36,,38,,36,
01-06-2011,3,35,,,,,,,38,31,40,34,,32,,33,,,,35,,34,,30,,,36,,,,,29,,37,,37,,39,
01-06-2011,4,23,,,,,,,35,27,37,37,,35,,32,,,,36,,,,30,,,34,,,,,25,,36,,34,,37,
01-06-2011,5,20,,,,,,,29,11,36,34,,28,,31,,,,31,,26,,19,,,32,,,,,9,,32,,28,,29,
01-06-2011,6,15,,,,,,,21,15,28,29,,14,,19,,,,14,,16,,11,,,25,,,,,5,,28,,14,,28,
01-06-2011,7,12,,,,,,,25,5,18,25,,13,,8,,,,9,,13,,6,,,19,,,,,5,,23,,15,,29,
01-06-2011,8,18,,,,,,,26,13,19,29,,22,,14,,,,14,,14,,15,,,20,,,,,10,,24,,20,,26,
01-06-2011,9,28,,,,,,,31,27,21,34,,34,,21,,,,19,,22,,24,,,22,,,,,24,,25,,29,,33,
01-06-2011,10,32,,,,,,,42,41,24,38,,29,,,,,,21,,27,,29,,,26,,,,,30,,26,,36,,29,
01-06-2011,11,45,,,,,,,49,47,35,38,,36,,,,,,36,,34,,32,,,34,,,,,31,,34,,45,,33,
01-06-2011,12,49,,,,,,,51,50,45,45,,44,,,,,,38,,42,,,,,44,,,,,44,,41,,49,,44,
01-06-2011,13,49,,,,,,,55,49,52,51,,53,,44,,,,53,,47,,47,,,48,,,,,51,,46,,53,,53,
01-06-2011,14,48,,,,,,,51,47,62,58,,52,,52,,,,52,,61,,41,,,57,,45,,,44,,55,,54,,42,
01-06-2011,15,49,,,,,,,52,45,51,56,,48,,41,,,,35,,55,,41,,,49,,44,,,40,,56,,51,,42,
