Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-01-2014,1,9,,9,,5,,,0,2,3,4,2,6,,1,,,,1,2,,,3,2,2,2,,3,,,9,1,1,1,,7,2,
01-01-2014,2,9,,8,,6,,,3,2,1,4,2,4,,,,,,1,3,,,3,,2,3,,5,,,9,2,1,1,,5,2,
01-01-2014,3,9,,3,,3,,,1,2,1,4,4,2,,2,,,,1,3,,,3,1,2,2,,3,,,6,2,1,2,4,4,3,
01-01-2014,4,8,,1,,2,,,0,2,1,4,2,2,,3,,,,1,3,,,3,1,2,3,,3,,,2,2,2,2,4,5,3,
01-01-2014,5,6,,1,,2,,,1,2,1,4,2,3,,2,,,,1,2,,,3,1,2,4,,2,,,1,2,1,2,4,4,3,
01-01-2014,6,4,,1,,1,,,0,2,1,5,2,2,,2,,,,2,1,1,,3,1,2,3,,3,,,2,1,2,2,3,5,3,
01-01-2014,7,4,,0,,2,,,0,2,1,3,2,1,,2,,,,1,2,1,,3,2,2,2,,2,,,2,1,2,1,2,5,3,
01-01-2014,8,4,,2,,2,,,0,2,1,2,3,1,,1,,,,1,2,2,,3,1,3,2,,2,,,2,2,2,1,3,5,2,
01-01-2014,9,9,,5,,2,,,3,3,2,5,5,3,,3,,,,3,5,2,,5,3,4,3,,3,,,3,4,4,3,5,6,4,
01-01-2014,10,21,,10,,6,,,13,7,6,10,9,5,,6,,,,6,13,5,,11,7,9,5,,5,,,7,10,6,9,12,12,9,
01-01-2014,11,,,15,,21,,,29,18,11,18,19,12,,18,,,,20,26,16,,31,20,23,12,,18,,,22,25,11,21,27,32,27,
01-01-2014,12,,,35,,39,,,48,38,32,36,43,31,,38,,,,38,51,32,,46,40,39,31,,43,,,41,41,21,38,49,46,43,
01-01-2014,13,51,,56,,49,,,58,40,58,58,63,58,,65,,,,57,66,56,,58,64,57,65,,64,,,57,57,48,55,75,52,53,
01-01-2014,14,56,,55,,58,,,48,36,75,79,72,63,,77,,,,75,72,69,,62,75,69,82,,65,,,59,55,65,67,81,60,60,
01-01-2014,15,62,,56,,66,,,47,38,72,84,71,68,,67,,,,75,57,71,,65,81,69,77,,61,,,65,60,66,52,72,66,63,
01-01-2014,16,57,,58,,64,,,45,40,54,81,71,70,,57,,,,64,47,57,,57,78,55,56,,53,,,64,63,54,45,58,71,57,
01-01-2014,17,49,,59,,51,,,44,42,47,51,69,68,,44,,,,45,48,53,,36,72,38,48,,51,,,60,62,39,41,51,73,41,
01-01-2014,18,41,,49,,37,,,43,36,36,41,58,73,,33,,,,28,33,44,,30,41,33,39,,51,,,36,45,34,36,43,49,36,
01-01-2014,19,38,,27,,25,,,38,23,20,33,29,50,,23,,,,17,14,27,,24,32,18,24,,47,,,20,35,33,30,34,28,26,
01-01-2014,20,34,,22,,15,,,34,16,10,30,30,20,,16,,,,11,12,21,,18,27,5,12,,27,,,19,23,30,25,29,42,23,
01-01-2014,21,27,,15,,5,,,35,15,6,29,28,15,,10,,,,3,8,12,,15,25,4,10,,17,,,15,19,24,11,14,23,17,
