Promedio horarios de o3Promedio horarios de o3
Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-01-2016,1,nr,38,19,nr,nr,nr,2,2,nr,5,29,3,21,7,5,nr,3,9,nr,10,nr,3,nr,9,3,nr,16,20,nr,nr,2,nr,nr,0,nr,nr,nr,0,4,nr,0,8,4,nr,2,
01-01-2016,2,nr,22,29,nr,nr,nr,2,8,nr,4,12,2,20,7,4,nr,3,5,nr,4,nr,4,nr,4,2,nr,9,19,nr,nr,2,nr,nr,0,nr,nr,nr,0,5,nr,0,5,4,nr,2,
01-01-2016,3,nr,22,26,nr,nr,nr,2,6,nr,4,8,2,24,4,4,nr,3,3,nr,4,nr,4,nr,2,6,nr,2,12,nr,nr,3,nr,nr,0,nr,nr,nr,0,3,nr,0,3,3,nr,3,
01-01-2016,4,nr,19,19,nr,nr,nr,3,2,nr,3,15,2,18,3,4,nr,4,3,nr,4,nr,4,nr,2,4,nr,2,11,nr,nr,3,nr,nr,0,nr,nr,nr,0,3,nr,0,4,3,nr,3,
01-01-2016,5,nr,19,12,nr,nr,nr,2,2,nr,2,9,3,11,2,3,nr,4,2,nr,4,nr,4,nr,2,3,nr,2,3,nr,nr,2,nr,nr,0,nr,nr,nr,0,3,nr,0,3,3,nr,2,
01-01-2016,6,nr,20,9,nr,nr,nr,2,2,nr,2,6,3,11,2,4,nr,3,2,nr,4,nr,4,nr,2,3,nr,2,3,nr,nr,3,nr,nr,0,nr,nr,nr,0,3,nr,0,3,3,nr,2,
01-01-2016,7,nr,13,5,nr,nr,nr,2,2,nr,2,5,3,25,3,5,nr,4,3,nr,4,nr,3,nr,1,3,nr,2,3,nr,nr,3,nr,nr,0,nr,nr,nr,0,3,nr,0,2,3,nr,4,
01-01-2016,8,nr,13,5,nr,nr,nr,2,2,nr,3,5,3,10,3,4,nr,3,3,nr,4,nr,2,nr,2,3,nr,2,3,nr,nr,2,nr,nr,0,nr,nr,nr,0,3,nr,0,3,3,nr,4,
01-01-2016,9,nr,20,11,nr,nr,nr,5,8,nr,5,5,8,27,4,7,nr,4,5,nr,7,nr,4,nr,3,7,nr,5,8,nr,nr,3,nr,nr,0,nr,nr,nr,0,5,nr,0,6,7,nr,4,
01-01-2016,10,nr,33,52,nr,nr,nr,13,23,nr,12,20,22,32,12,24,nr,12,14,nr,16,nr,7,nr,8,21,nr,9,27,nr,nr,8,nr,nr,0,nr,nr,nr,0,8,nr,0,25,16,nr,9,
