Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-09-2020,1,,,,11,,6,13,8,,4,,,,1,17,11,16,,19,,,,,2,,28,10,9,,14,14,16,,,,11,,,,,,9,10,,,
01-09-2020,2,,,,8,,2,5,10,,10,,,,1,13,10,8,,15,,,,,2,,24,9,11,,14,10,16,,,,7,,,,,,7,9,,,
01-09-2020,3,,,,8,,3,5,6,,13,,,,1,11,9,4,,14,,,,,4,,23,12,11,,14,7,14,,,,10,,,,,,7,10,,,
01-09-2020,4,,,,5,,2,3,3,,12,,,,1,8,9,2,,13,,,,,2,,24,10,8,,12,5,10,,,,8,,,,,,6,11,,,
01-09-2020,5,,,,5,,1,2,3,,12,,,,1,3,7,7,,12,,,,,1,,21,7,7,,14,4,8,,,,3,,,,,,6,5,,,
01-09-2020,6,,,,1,,0,1,1,,5,,,,1,2,0,1,,11,,,,,1,,19,2,2,,12,2,7,,,,3,,,,,,3,1,,,
01-09-2020,7,,,,1,,1,1,1,,1,,,,1,1,1,1,,12,,,,,1,,17,2,2,,9,2,4,,,,2,,,,,,2,2,,,
01-09-2020,8,,,,1,,3,3,6,,3,,,,2,2,5,5,,11,,,,,2,,19,7,4,,11,3,9,,,,5,,,,,,6,3,,,
01-09-2020,9,,,,8,,10,4,17,,8,,,,6,10,11,13,,19,,,,,8,,26,16,14,,12,8,,,,,13,,,,,,13,11,,,
01-09-2020,10,,,,24,,,16,30,,22,,,,15,23,21,25,,17,,,,,18,,33,28,24,,28,21,,,,,28,,,19,,,27,25,,,
01-09-2020,11,,,,33,,,35,44,,,,,,32,35,40,46,,19,,,,,36,,41,41,38,,40,,,,,,39,,,37,,,45,42,,,
01-09-2020,12,,,,43,,,47,59,,,,,,47,47,52,61,,28,,,,,50,,43,52,51,,61,49,56,,,,53,,,49,,,66,65,,,
