,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,,7.0,6.0,,18.440492476060193,17.952316076294277,,23.78482771319095,23.487227118989104
Febrero,15.5,5.0,5.0,28.45909090909091,15.760242792109256,15.34876989869754,30.00887477696932,22.07055962980036,21.751793077993508
Marzo,19.0,16.0,14.0,32.17130919220056,28.339410939691444,27.483561643835618,33.49147831764787,30.48521152235347,30.717490152827622
Abril,28.0,24.0,23.0,34.813314037626625,29.554585152838428,28.28291814946619,30.087286484273466,26.865166600406422,25.688037125523476
Mayo,35.0,30.0,30.0,42.22455573505654,35.65297450424929,36.5210843373494,32.62019811164185,28.71073584640251,28.18126269077686
Junio,17.0,14.0,15.0,27.809315866084425,24.404624277456648,25.648951048951048,29.79884016513487,27.144910618879628,28.176138829128604
Julio,11.0,9.0,10.0,21.926657263751764,19.99719495091164,19.929945054945055,25.68700638184955,23.621547794556907,23.489803670436594
Agosto,12.0,9.0,10.0,21.012676056338027,18.408077994428968,18.952120383036934,23.527581446854118,21.402414948256176,21.89368221291893
Septiembre,18.0,15.0,17.0,26.454545454545453,22.53846153846154,24.066759388038943,26.6245523770839,23.0097056989138,24.027688170427137
Octubre,11.0,9.0,8.0,23.205128205128204,19.46262341325811,19.48913043478261,25.909214415692325,21.97482700549748,23.088292908894523
Noviembre,8.0,6.0,7.0,18.603448275862068,16.382608695652173,16.55167597765363,24.528842271909177,22.227449109389934,21.96860722669684
Diciembre,7.0,6.0,4.0,21.598561151079135,19.659154929577465,19.294197031039136,27.859905769972464,25.53952426549837,25.95843520268387
