Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,LVI,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-11-2010,1,1,,,7,43,,,4,,3,,,,4,,16,12,,,6,16,,4,2,1,,,0,3,0,4,,65,1,,,11,,,3,
01-11-2010,2,3,,,3,7,,,4,,3,,,,3,,40,19,,,2,43,,4,2,4,,,0,2,0,4,,54,16,,,15,,,3,
01-11-2010,3,3,,,1,2,,,3,,2,,,,3,,25,19,,,2,,,4,2,15,,,0,2,0,3,,,14,,,6,,,3,
01-11-2010,4,1,,,2,2,,,3,,1,,,,3,,10,14,,,4,8,,3,2,9,,,0,2,0,3,,7,11,,,6,,,3,
01-11-2010,5,1,,,3,,,,4,,1,,,,3,,14,12,,,7,13,,3,2,4,,,0,2,0,3,,5,9,,,9,,,5,
01-11-2010,6,1,,,3,,,,3,,2,,,,3,,8,14,,,7,15,,3,2,2,,,0,2,0,3,,5,7,,,4,,,6,
01-11-2010,7,2,,,2,2,,,3,,2,,,,4,,8,16,,,7,15,,3,3,2,,,0,3,0,3,,5,7,,,4,,,5,
01-11-2010,8,3,,,2,3,,,5,,,,,,5,,8,19,,,6,16,,4,4,4,,,0,5,0,4,,6,7,,,6,,,7,
01-11-2010,9,4,,,4,8,,,9,,4,,,,7,,12,25,,,14,19,,6,5,7,,,0,12,0,4,,14,9,,,9,,,13,
01-11-2010,10,30,,,11,17,,,15,,4,,,,14,,11,24,,,22,21,,9,8,18,,,0,15,2,7,,21,9,,,12,,,24,
01-11-2010,11,18,,,7,12,,,11,,4,,,,11,,10,18,,,14,20,,7,6,20,,,0,12,2,6,,15,10,,,12,,,22,
01-11-2010,12,10,,,4,9,,,8,,,,,,8,,10,13,,,8,14,,5,5,13,,,0,7,0,4,,13,7,,,10,,,14,
01-11-2010,13,10,,,2,7,,,7,,8,,,,7,,10,9,,,6,7,,5,5,10,,,0,6,0,4,,8,3,,,8,,,11,
01-11-2010,14,6,,,4,3,,,6,,6,,,,7,,,9,,,7,8,,7,6,5,,,1,5,1,6,,6,3,,,5,,,7,
01-11-2010,15,5,,,4,5,,,7,,4,,,,8,,11,7,,,4,7,,7,6,4,,,2,5,1,8,,7,6,,,6,,,5,
01-11-2010,16,11,,,,8,,,6,,2,,,,11,,8,6,,,4,4,,6,5,7,,,1,6,0,7,,33,58,,,5,,,6,
01-11-2010,17,10,,,54,49,,,5,,1,,,,51,,8,13,,,15,6,,7,11,26,,,0,44,0,5,,59,29,,,4,,,27,
01-11-2010,18,3,,,31,29,,,6,,1,,,,45,,16,29,,,22,28,,27,43,10,,,0,36,0,5,,30,10,,,7,,,15,
01-11-2010,19,1,,,17,9,,,7,,1,,,,22,,9,8,,,5,7,,6,17,2,,,0,14,0,6,,15,2,,,6,,,4,
01-11-2010,20,1,,,1,1,,,7,,1,,,,8,,7,4,,,2,2,,5,4,2,,,0,2,0,6,,3,1,,,7,,,3,
01-11-2010,21,1,,,1,3,,,5,,1,,,,5,,6,4,,,1,2,,4,3,2,,,0,3,0,5,,6,2,,,3,,,4,
01-11-2010,22,1,,,1,2,,,3,,1,,,,5,,6,5,,,1,3,,5,3,2,,,0,3,0,4,,4,2,,,2,,,4,
01-11-2010,23,1,,,,2,,,3,,1,,,,5,,8,8,,,2,3,,4,3,2,,,0,3,0,6,,4,2,,,3,,,4,
01-11-2010,24,1,,,,2,,,4,,1,,,,5,,7,5,,,3,4,,4,3,2,,,0,2,0,5,,5,3,,,4,,,4,
02-11-2010,1,1,,,,2,,,4,,1,,,,5,,7,6,,,3,4,,3,2,2,,,0,2,0,4,,6,7,,,3,,,4,
