Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-04-2018,1,,1,,,,,1,2,1,,1,1,,1,2,2,,,3,1,3,,1,1,,3,2,,,2,,,2,1,,,,,,,2,2,,1,3,,2,1,
01-04-2018,2,,1,,,,,1,1,1,,1,1,,1,1,2,,,2,1,2,,1,0,,2,1,,,2,,,2,1,,,,,,,1,2,,1,3,,2,0,
01-04-2018,3,,1,,,,,1,1,1,,1,0,,1,1,1,,,2,1,1,,1,1,,3,1,,,1,,,2,0,,,,,,,1,3,,1,1,,3,2,
01-04-2018,4,,0,,,,,1,1,1,,0,0,,0,1,1,,,1,1,0,,2,1,,2,1,,,1,,,2,0,,,,,,,1,2,,1,1,,2,2,
01-04-2018,5,,0,,,,,1,0,1,,0,1,,0,1,0,,,1,1,1,,2,1,,2,1,,,1,,,2,0,,,,,,,1,2,,1,1,,2,2,
01-04-2018,6,,0,,,,,1,0,1,,1,1,,0,1,0,,,2,1,1,,2,1,,3,1,,,1,,,2,0,,,,,,,1,2,,1,1,,2,2,
01-04-2018,7,,0,,,,,1,0,1,,1,1,,0,0,2,,,1,1,2,,2,2,,4,2,,,1,,,3,0,,,,,,,1,2,,1,2,,3,3,
01-04-2018,8,,1,,,,,1,1,1,,1,1,,0,2,1,,,3,1,2,,3,3,,6,2,,,1,,,4,0,,,,,,,2,2,,1,1,,6,4,
01-04-2018,9,,1,,,,,2,15,2,,1,1,,1,6,6,,,3,1,2,,3,4,,4,2,,,2,,,5,1,,,,,,,18,5,,1,2,,5,4,
01-04-2018,10,,1,,,,,2,7,2,,2,1,,1,3,3,,,3,1,3,,1,4,,4,4,,,2,,,3,1,,,,,,,12,4,,2,3,,3,4,
01-04-2018,11,,1,,,,,2,3,2,,1,1,,1,2,4,,,3,2,2,,1,5,,3,3,,,2,,,1,1,,,,,,,7,2,,2,2,,2,3,
01-04-2018,12,,1,,,,,1,2,1,,1,1,,1,1,7,,,3,1,1,,1,3,,2,4,,,2,,,1,1,,,,,,,4,1,,1,1,,1,2,
01-04-2018,13,,1,,,,,2,1,2,,0,0,,1,1,3,,,3,1,1,,0,1,,2,2,,,3,,,0,2,,,,,,,1,1,,1,1,,0,1,
