,HGM_Mediana,MER_Mediana,CAM_Mediana,HGM_Promedio,MER_Promedio,CAM_Promedio,HGM_Desviacion_Estandar,MER_Desviacion_Estandar,CAM_Desviacion_Estandar
Enero,3.0,4.0,3.0,6.776551724137931,7.789764868603043,7.265840220385675,10.369939115744161,10.088942704916377,12.125305134445103
Febrero,8.0,8.0,8.0,15.872968980797637,16.249626307922274,17.370992366412214,19.227348747051746,18.560280186695678,23.00660883826525
Marzo,1.0,3.0,2.0,3.111878453038674,4.995488721804511,4.840336134453781,6.1565489701390685,6.163801545899824,9.079499148944894
Abril,1.0,3.0,3.0,5.197309417040358,7.685714285714286,6.1697574893009985,12.380201692522256,12.87088628267034,11.873066691271902
Mayo,1.0,2.0,3.0,3.0840220385674932,4.1149584487534625,4.80774550484094,6.519559394425721,6.6970772651684305,5.390855680280583
Junio,2.0,2.0,3.0,2.936324167872648,3.5565217391304347,4.871428571428571,4.16145150669679,4.652245685265605,4.624440355333916
Julio,2.0,3.0,2.0,3.402203856749311,4.434074074074074,4.126506024096385,5.179875710641661,6.071998323810418,6.486018550890646
Agosto,2.0,3.0,2.0,3.298611111111111,4.34472049689441,2.8434959349593494,5.904760886615988,5.446969287256288,4.612245541470047
Septiembre,2.0,1.0,1.0,3.227866473149492,2.8308157099697886,3.421441774491682,4.792985573009259,4.663089584956765,6.411781874512399
Octubre,2.0,2.0,2.0,4.666197183098592,4.1266187050359715,5.178918169209432,8.13183757924522,6.865196185517486,9.709954768473148
Noviembre,3.0,4.0,3.0,6.642241379310345,8.028657616892911,7.098265895953757,10.866615636924175,11.593730433100745,12.658449751054196
Diciembre,3.0,4.0,3.0,5.749283667621777,7.813036020583191,5.995827538247566,9.052146446934486,9.153391286196564,8.94792949102437
